STR,choice,alt ,asc,species,frog,bird,fish,location1,satoyama,non_satoyama,cultivation1,organic,non_organic,price 
101,0,alt1,0,2,0,1,0,1,1,0,1,1,0,2500
101,1,alt2,0,3,0,0,1,0,0,1,1,1,0,5000
101,0,alt3,1,0,0,0,0,0,0,1,0,0,1,2000
102,1,alt1,0,3,0,0,1,1,1,0,1,1,0,1000
102,0,alt2,0,2,0,1,0,0,0,1,0,0,1,5000
102,0,alt3,1,0,0,0,0,0,0,1,0,0,1,2000
103,1,alt1,0,2,0,1,0,1,1,0,1,1,0,3000
103,0,alt2,0,1,1,0,0,0,0,1,1,1,0,2000
103,0,alt3,1,0,0,0,0,0,0,1,0,0,1,2000
104,0,alt1,0,1,1,0,0,0,0,1,1,1,0,3000
104,1,alt2,0,2,0,1,0,0,0,1,1,1,0,1000
104,0,alt3,1,0,0,0,0,0,0,1,0,0,1,2000
105,0,alt1,0,1,1,0,0,1,1,0,0,0,1,1000
105,0,alt2,0,1,1,0,0,0,0,1,0,0,1,3000
105,1,alt3,1,0,0,0,0,0,0,1,0,0,1,2000
106,1,alt1,0,3,0,0,1,0,0,1,1,1,0,2000
106,0,alt2,0,1,1,0,0,1,1,0,0,0,1,1000
106,0,alt3,1,0,0,0,0,0,0,1,0,0,1,2000
201,1,alt1,0,2,0,1,0,1,1,0,1,1,0,2500
201,0,alt2,0,3,0,0,1,0,0,1,1,1,0,5000
201,0,alt3,1,0,0,0,0,0,0,1,0,0,1,2000
202,1,alt1,0,3,0,0,1,1,1,0,1,1,0,1000
202,0,alt2,0,2,0,1,0,0,0,1,0,0,1,5000
202,0,alt3,1,0,0,0,0,0,0,1,0,0,1,2000
203,1,alt1,0,2,0,1,0,1,1,0,1,1,0,3000
203,0,alt2,0,1,1,0,0,0,0,1,1,1,0,2000
203,0,alt3,1,0,0,0,0,0,0,1,0,0,1,2000
204,0,alt1,0,1,1,0,0,0,0,1,1,1,0,3000
204,1,alt2,0,2,0,1,0,0,0,1,1,1,0,1000
204,0,alt3,1,0,0,0,0,0,0,1,0,0,1,2000
205,1,alt1,0,1,1,0,0,1,1,0,0,0,1,1000
205,0,alt2,0,1,1,0,0,0,0,1,0,0,1,3000
205,0,alt3,1,0,0,0,0,0,0,1,0,0,1,2000
206,1,alt1,0,3,0,0,1,0,0,1,1,1,0,2000
206,0,alt2,0,1,1,0,0,1,1,0,0,0,1,1000
206,0,alt3,1,0,0,0,0,0,0,1,0,0,1,2000
301,1,alt1,0,2,0,1,0,1,1,0,1,1,0,2500
301,0,alt2,0,3,0,0,1,0,0,1,1,1,0,5000
301,0,alt3,1,0,0,0,0,0,0,1,0,0,1,2000
302,1,alt1,0,3,0,0,1,1,1,0,1,1,0,1000
302,0,alt2,0,2,0,1,0,0,0,1,0,0,1,5000
302,0,alt3,1,0,0,0,0,0,0,1,0,0,1,2000
303,1,alt1,0,2,0,1,0,1,1,0,1,1,0,3000
303,0,alt2,0,1,1,0,0,0,0,1,1,1,0,2000
303,0,alt3,1,0,0,0,0,0,0,1,0,0,1,2000
304,0,alt1,0,1,1,0,0,0,0,1,1,1,0,3000
304,1,alt2,0,2,0,1,0,0,0,1,1,1,0,1000
304,0,alt3,1,0,0,0,0,0,0,1,0,0,1,2000
305,0,alt1,0,1,1,0,0,1,1,0,0,0,1,1000
305,1,alt2,0,1,1,0,0,0,0,1,0,0,1,3000
305,0,alt3,1,0,0,0,0,0,0,1,0,0,1,2000
306,1,alt1,0,3,0,0,1,0,0,1,1,1,0,2000
306,0,alt2,0,1,1,0,0,1,1,0,0,0,1,1000
306,0,alt3,1,0,0,0,0,0,0,1,0,0,1,2000
407,1,alt1,0,2,0,1,0,1,1,0,1,1,0,2000
407,0,alt2,0,1,1,0,0,1,1,0,1,1,0,5000
407,0,alt3,1,0,0,0,0,0,0,1,0,0,1,2000
408,0,alt1,0,3,0,0,1,0,0,1,0,0,1,9000
