STR,choice,alt ,asc,species,frog,bird,fish,location1,satoyama,non_satoyama,cultivation1,organic,non_organic,price ,rice_buyer,rice_buyer1,rice_buyer2,rice_buyer3,rice_size,rice_frequency,gender,male,age,pref,tokyo,kana,ibar,sait,chiba,toch,naga,hokk,fuku,shiz,fukuoka,niigata,academic,junior,secondary,technical,college,undergraduate,master,phd,other,occupation,office,farmer,self_employed,civil,ngo_npo,student,researcher,house,retired,unemployed,other,children1,less_primary,primary,junior,high,greater_high,none,children_quant1,children2,children_quantity2,children3,children_quantity3
101,0,alt1,0,2,0,1,0,1,1,0,1,1,0,2500,2,0,1,0,5,3,1,1,NA,2,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,,,,,
101,1,alt2,0,3,0,0,1,0,0,1,1,1,0,5000,2,0,1,0,5,3,1,1,NA,2,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,1,,,,,
101,0,alt3,1,0,0,0,0,0,0,1,0,0,1,2000,2,0,1,0,5,3,1,1,NA,2,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,1,,,,,
102,1,alt1,0,3,0,0,1,1,1,0,1,1,0,1000,2,0,1,0,5,3,1,1,NA,2,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,1,,,,,
102,0,alt2,0,2,0,1,0,0,0,1,0,0,1,5000,2,0,1,0,5,3,1,1,NA,2,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,1,,,,,
102,0,alt3,1,0,0,0,0,0,0,1,0,0,1,2000,2,0,1,0,5,3,1,1,NA,2,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,1,,,,,
103,1,alt1,0,2,0,1,0,1,1,0,1,1,0,3000,2,0,1,0,5,3,1,1,NA,2,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,1,,,,,
103,0,alt2,0,1,1,0,0,0,0,1,1,1,0,2000,2,0,1,0,5,3,1,1,NA,2,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,1,,,,,
103,0,alt3,1,0,0,0,0,0,0,1,0,0,1,2000,2,0,1,0,5,3,1,1,NA,2,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,1,,,,,
104,0,alt1,0,1,1,0,0,0,0,1,1,1,0,3000,2,0,1,0,5,3,1,1,NA,2,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,1,,,,,
104,1,alt2,0,2,0,1,0,0,0,1,1,1,0,1000,2,0,1,0,5,3,1,1,NA,2,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,1,,,,,
